zend_version,Environment
array_intersect_key,Iterable
array_intersect_ukey,Iterable
array_uintersect,Iterable
array_intersect_assoc,Iterable
array_uintersect_assoc,Iterable
array_intersect_uassoc,Iterable
array_uintersect_uassoc,Iterable
array_diff,Iterable
array_diff_key,Iterable
array_diff_ukey,Iterable
array_udiff,Iterable
array_diff_assoc,Iterable
array_udiff_assoc,Iterable
array_diff_uassoc,Iterable
array_udiff_uassoc,Iterable
array_sum,Iterable
array_product,Iterable
array_filter,Iterable
array_map,Iterable
array_chunk,Iterable
array_combine,Iterable
array_key_exists,Iterable
pos,Iterable
sizeof,Iterable
key_exists,Iterable
assert,Iterable
assert_options,Iterable
version_compare,Environment
ftok,File Operation
str_rot13,Cryptography
stream_get_filters,Stream
stream_filter_register,Stream
stream_bucket_make_writeable,Stream
stream_bucket_prepend,Stream
stream_bucket_append,Stream
stream_bucket_new,Stream
output_add_rewrite_var,Stream
output_reset_rewrite_vars,Stream
sys_get_temp_dir,Environment
msg_get_queue,System
msg_send,System
msg_receive,System
msg_remove_queue,System
msg_stat_queue,System
msg_set_queue,System
msg_queue_exists,System
sem_get,System
sem_acquire,System
sem_release,System
sem_remove,System
shm_attach,System
shm_remove,System
shm_detach,System
shm_put_var,System
shm_has_var,System
shm_get_var,System
shm_remove_var,System
token_get_all,Code Interpretation
token_name,Code Interpretation
xml_parser_create,Serialization
xml_parser_create_ns,Serialization
xml_set_object,Serialization
xml_set_element_handler,Serialization
xml_set_character_data_handler,Serialization
xml_set_processing_instruction_handler,Serialization
xml_set_default_handler,Serialization
xml_set_unparsed_entity_decl_handler,Serialization
xml_set_notation_decl_handler,Serialization
xml_set_external_entity_ref_handler,Serialization
xml_set_start_namespace_decl_handler,Serialization
xml_set_end_namespace_decl_handler,Serialization
xml_parse,Serialization
xml_parse_into_struct,Serialization
xml_get_error_code,Serialization
xml_error_string,Serialization
xml_get_current_line_number,Serialization
xml_get_current_column_number,Serialization
xml_get_current_byte_index,Serialization
xml_parser_free,Serialization
xml_parser_set_option,Serialization
xml_parser_get_option,Serialization
utf8_encode,String
utf8_decode,String
xmlrpc_encode,Serialization
xmlrpc_decode,Serialization
xmlrpc_decode_request,Serialization
xmlrpc_encode_request,Serialization
xmlrpc_get_type,Serialization
xmlrpc_set_type,Serialization
xmlrpc_is_fault,Serialization
xmlrpc_server_create,Serialization
xmlrpc_server_destroy,Serialization
xmlrpc_server_register_method,Serialization
xmlrpc_server_call_method,Serialization
xmlrpc_parse_method_descriptions,Serialization
xmlrpc_server_add_introspection_data,Serialization
xmlrpc_server_register_introspection_callback,Serialization
xmlwriter_open_uri,Serialization
xmlwriter_open_memory,Serialization
xmlwriter_set_indent,Serialization
xmlwriter_set_indent_string,Serialization
xmlwriter_start_comment,Serialization
xmlwriter_end_comment,Serialization
xmlwriter_start_attribute,Serialization
xmlwriter_end_attribute,Serialization
xmlwriter_write_attribute,Serialization
xmlwriter_start_attribute_ns,Serialization
xmlwriter_write_attribute_ns,Serialization
xmlwriter_start_element,Serialization
xmlwriter_end_element,Serialization
xmlwriter_full_end_element,Serialization
xmlwriter_start_element_ns,Serialization
xmlwriter_write_element,Serialization
xmlwriter_write_element_ns,Serialization
xmlwriter_start_pi,Serialization
xmlwriter_end_pi,Serialization
xmlwriter_write_pi,Serialization
xmlwriter_start_cdata,Serialization
xmlwriter_end_cdata,Serialization
xmlwriter_write_cdata,Serialization
xmlwriter_text,Serialization
xmlwriter_write_raw,Serialization
xmlwriter_start_document,Serialization
xmlwriter_end_document,Serialization
xmlwriter_write_comment,Serialization
xmlwriter_start_dtd,Serialization
xmlwriter_end_dtd,Serialization
xmlwriter_write_dtd,Serialization
xmlwriter_start_dtd_element,Serialization
xmlwriter_end_dtd_element,Serialization
xmlwriter_write_dtd_element,Serialization
xmlwriter_start_dtd_attlist,Serialization
xmlwriter_end_dtd_attlist,Serialization
xmlwriter_write_dtd_attlist,Serialization
xmlwriter_start_dtd_entity,Serialization
xmlwriter_end_dtd_entity,Serialization
xmlwriter_write_dtd_entity,Serialization
xmlwriter_output_memory,Serialization
xmlwriter_flush,Serialization
zip_open,Compression
zip_close,Compression
zip_read,Compression
zip_entry_open,Compression
zip_entry_close,Compression
zip_entry_read,Compression
zip_entry_filesize,Compression
zip_entry_name,Compression
zip_entry_compressedsize,Compression
zip_entry_compressionmethod,Compression
apache_lookup_uri,Dependency
virtual,Object-oriented notation
apache_request_headers,Dependency
apache_response_headers,Dependency
apache_setenv,Dependency
apache_getenv,Dependency
apache_note,Dependency
apache_get_version,Dependency
apache_get_modules,Dependency
getallheaders,HTTP Header
mysqli_affected_rows,Database
mysqli_autocommit,Database
mysqli_begin_transaction,Database
mysqli_change_user,Database
mysqli_character_set_name,Database
mysqli_close,Database
mysqli_commit,Database
mysqli_connect,Database
mysqli_connect_errno,Database
mysqli_connect_error,Database
mysqli_data_seek,Database
mysqli_dump_debug_info,Database
mysqli_debug,Database
mysqli_errno,Database
mysqli_error,Database
mysqli_error_list,Database
mysqli_stmt_execute,Database
mysqli_execute,Database
mysqli_fetch_field,Database
mysqli_fetch_fields,Database
mysqli_fetch_field_direct,Database
mysqli_fetch_lengths,Database
mysqli_fetch_array,Database
mysqli_fetch_assoc,Database
mysqli_fetch_object,Database
mysqli_fetch_row,Database
mysqli_field_count,Database
mysqli_field_seek,Database
mysqli_field_tell,Database
mysqli_free_result,Database
mysqli_get_charset,Database
mysqli_get_client_info,Database
mysqli_get_client_version,Database
mysqli_get_links_stats,Database
mysqli_get_host_info,Database
mysqli_get_proto_info,Database
mysqli_get_server_info,Database
mysqli_get_server_version,Database
mysqli_get_warnings,Database
mysqli_init,Database
mysqli_info,Database
mysqli_insert_id,Database
mysqli_kill,Database
mysqli_more_results,Database
mysqli_multi_query,Database
mysqli_next_result,Database
mysqli_num_fields,Database
mysqli_num_rows,Database
mysqli_options,Database
mysqli_ping,Database
mysqli_prepare,Database
mysqli_report,Database
mysqli_query,Database
mysqli_real_connect,Database
mysqli_real_escape_string,Database
mysqli_real_query,Database
mysqli_release_savepoint,Database
mysqli_rollback,Database
mysqli_savepoint,Database
mysqli_select_db,Database
mysqli_set_charset,Database
mysqli_stmt_affected_rows,Database
